InternshipID,Title,Sector,Location,Requirements,Stipend,Capacity,District
I101,AI Research Intern,AI/ML,Hyderabad,"Python, AI, Machine Learning, Data Analysis",8000,2,Hyderabad
I102,Web Developer Intern,Software,Delhi,"Java, HTML, CSS, JavaScript, Web Development",6000,2,New Delhi
I103,Public Health Intern,Health,Mumbai,"Healthcare, Communication, Data Entry",5000,1,Mumbai
I104,Embedded Systems Intern,Electronics,Ranchi,"C, Microcontrollers, Embedded Systems, Hardware",7000,2,Ranchi
I105,Content & Marketing Intern,Media,Patna,"Marketing, Content Writing, SEO, Social Media",4000,2,Patna
I106,IoT Project Intern,Electronics,Bangalore,"IoT, Embedded Systems, C++, Sensors",9000,1,Bengaluru
I107,Data Analyst Intern,Analytics,Chennai,"SQL, Excel, Data Visualization, Statistics",7000,2,Chennai
I108,Digital Marketing Intern,Marketing,Hyderabad,"SEO, SEM, Social Media Marketing, Google Analytics",6000,2,Hyderabad
I109,Finance Intern,Finance,Mumbai,"Financial Analysis, Excel, Accounting, Reporting",8000,2,Mumbai
I110,HR Intern,Human Resources,Delhi,"Recruitment, Employee Relations, HR Policies",5000,2,New Delhi
I111,Legal Intern,Legal,Chennai,"Legal Research, Drafting, Contract Law",7000,1,Chennai
I112,Operations Intern,Operations,Bangalore,"Supply Chain Management, Logistics, Process Optimization",6000,2,Bengaluru
I113,Product Management Intern,Product,Hyderabad,"Product Lifecycle, Market Research, Agile Methodology",8000,2,Hyderabad
I114,Quality Assurance Intern,Software,Delhi,"Manual Testing, Automation Testing, Bug Tracking",7000,2,New Delhi
I115,Research Intern,Research,Mumbai,"Data Collection, Literature Review, Report Writing",6000,2,Mumbai
I116,Sales Intern,Sales,Chennai,"Sales Strategy, Customer Relationship Management, Negotiation",5000,2,Chennai
I117,Supply Chain Intern,Logistics,Bangalore,"Inventory Management, Procurement, Vendor Relations",7000,1,Bengaluru
I118,Teaching Assistant Intern,Education,Hyderabad,"Lesson Planning, Student Engagement, Assessment",6000,2,Hyderabad
I119,UI/UX Design Intern,Design,Delhi,"Adobe XD, Figma, User Research, Prototyping",8000,2,New Delhi
I120,Video Production Intern,Media,Mumbai,"Video Editing, Scriptwriting, Storyboarding",5000,2,Mumbai
I121,Brand Strategy Intern,Marketing,Chennai,"Brand Positioning, Market Analysis, Campaign Management",7000,2,Chennai
I122,Customer Support Intern,Customer Service,Bangalore,"Customer Queries, Issue Resolution, Feedback Collection",6000,2,Bengaluru
I123,Event Management Intern,Events,Hyderabad,"Event Planning, Vendor Coordination, Budget Management",8000,2,Hyderabad
I124,Financial Planning Intern,Finance,Delhi,"Budgeting, Forecasting, Investment Analysis",7000,2,New Delhi
I125,Graphic Design Intern,Design,Mumbai,"Adobe Photoshop, Illustrator, Branding, Layout Design",6000,2,Mumbai
I126,Health & Safety Intern,Health,Chennai,"Risk Assessment, Safety Protocols, Compliance",5000,2,Chennai
I127,IT Support Intern,IT,Delhi,"Hardware Troubleshooting, Network Configuration, Software Installation",7000,2,New Delhi
I128,Journalism Intern,Media,Bangalore,"Research, Writing, Editing, News Reporting",6000,2,Bengaluru
I129,Market Research Intern,Analytics,Hyderabad,"Survey Design, Data Analysis, Report Writing",8000,2,Hyderabad
I130,Product Design Intern,Design,Chennai,"CAD Software, Prototype Development, Product Testing",7000,2,Chennai
I131,Public Relations Intern,Media,Mumbai,"Media Relations, Press Releases, Event Coordination",6000,2,Mumbai
I132,Recruitment Intern,Human Resources,Bangalore,"Job Posting, Interview Scheduling, Candidate Screening",5000,2,Bengaluru
I133,Salesforce Intern,Sales,Hyderabad,"CRM Software, Sales Reporting, Lead Generation",8000,2,Hyderabad
I134,SEO Intern,Marketing,Delhi,"Keyword Research, On-Page SEO, Link Building",7000,2,New Delhi
I135,Social Media Intern,Marketing,Mumbai,"Content Creation, Community Engagement, Analytics",6000,2,Mumbai
I136,Software Development Intern,Software,Chennai,"Java, Python, Software Development, Debugging",7000,2,Chennai
I137,Supply Chain Analytics Intern,Logistics,Bangalore,"Data Analysis, Supply Chain Modeling, Forecasting",8000,2,Bengaluru
I138,Technical Writing Intern,Content,Hyderabad,"Technical Documentation, Research, Writing",6000,2,Hyderabad
I139,Training & Development Intern,Human Resources,Delhi,"Training Programs, Employee Development, Learning Management Systems",7000,2,New Delhi
I140,Web Analytics Intern,Marketing,Mumbai,"Google Analytics, Data Interpretation, Reporting",5000,2,Mumbai
